angle,samples,rmse,mae,bias,r2,dataset,split,file_count
-60,4956,0.4491929256605748,0.189803707186943,0.0003296491676313293,0.7317251937101232,real,train,3
-50,4956,0.8529575688881518,0.5572859189451284,0.004027843669914101,0.13193827926584267,real,train,3
-40,4956,1.7452857347721658,1.2642926321828554,0.03069383410583795,-2.1021344829243405,real,train,3
-30,4956,2.2717009507565527,1.7312734434393988,0.05281990479444225,-4.968514397941737,real,train,3
-20,4956,2.783587461925269,2.0163428292300285,0.06221327664870176,-10.831328980891683,real,train,3
-10,4956,2.2503833785218985,1.661551779156152,0.05789396552772157,-6.012690509734244,real,train,3
-5,4956,2.896817482055951,1.7920412234268928,0.05916058601481864,-7.341975624798543,real,train,3
0,4956,4.030383056404826,2.159086170074082,0.049446548161898876,-13.77163443689735,real,train,3
5,4956,3.317959389272272,1.8025628938464264,0.030495496550195123,-9.009539751317721,real,train,3
10,4956,5.284307538915387,2.644194319640844,0.006271514220537523,-33.14404568431,real,train,3
20,4956,5.061062902418193,3.725326451369705,-0.18362848072087168,-40.10887458962344,real,train,3
30,4956,3.649890133172905,2.5892803572203476,-0.10691805721247379,-22.56718651556199,real,train,3
40,4956,2.828272156537562,1.898122122359784,-0.10785131047974157,-13.249258732899749,real,train,3
50,4956,0.4130058525374924,0.306137505018506,-0.025319320551034315,0.6499675889805968,real,train,3
60,4956,0.18728888846084174,0.09055754223828018,-0.0003486897532921038,0.9045134161247896,real,train,3
-60,4956,0.4491929256605748,0.189803707186943,0.0003296491676313293,0.7317251937101232,real,val,3
-50,4956,0.8529575688881518,0.5572859189451284,0.004027843669914101,0.13193827926584267,real,val,3
-40,4956,1.7452857347721658,1.2642926321828554,0.03069383410583795,-2.1021344829243405,real,val,3
-30,4956,2.2717009507565527,1.7312734434393988,0.05281990479444225,-4.968514397941737,real,val,3
-20,4956,2.783587461925269,2.0163428292300285,0.06221327664870176,-10.831328980891683,real,val,3
-10,4956,2.2503833785218985,1.661551779156152,0.05789396552772157,-6.012690509734244,real,val,3
-5,4956,2.896817482055951,1.7920412234268928,0.05916058601481864,-7.341975624798543,real,val,3
0,4956,4.030383056404826,2.159086170074082,0.049446548161898876,-13.77163443689735,real,val,3
5,4956,3.317959389272272,1.8025628938464264,0.030495496550195123,-9.009539751317721,real,val,3
10,4956,5.284307538915387,2.644194319640844,0.006271514220537523,-33.14404568431,real,val,3
20,4956,5.061062902418193,3.725326451369705,-0.18362848072087168,-40.10887458962344,real,val,3
30,4956,3.649890133172905,2.5892803572203476,-0.10691805721247379,-22.56718651556199,real,val,3
40,4956,2.828272156537562,1.898122122359784,-0.10785131047974157,-13.249258732899749,real,val,3
50,4956,0.4130058525374924,0.306137505018506,-0.025319320551034315,0.6499675889805968,real,val,3
60,4956,0.18728888846084174,0.09055754223828018,-0.0003486897532921038,0.9045134161247896,real,val,3
-60,2066,0.33281663285379165,0.10304065165381288,0.0024465332934885315,0.8596850649688823,real,test,1
-50,2066,0.8999989064801684,0.5152672761954081,0.1006414940199959,-0.2631490825768785,real,test,1
-40,2066,1.7642867901597543,1.1231762917545292,0.42149863307719276,-2.3434356810767394,real,test,1
-30,2066,2.0917503499539256,1.39874225011824,0.6159918633734851,-3.77941310607266,real,test,1
-20,2066,2.8366015539821237,1.7883820528208692,0.6313563034279069,-8.970213755807602,real,test,1
-10,2066,1.9348983440093437,1.2818265674947997,0.46293656192563576,-4.070998581131784,real,test,1
-5,2066,2.859620162786723,1.500254723944766,0.37356689170742224,-9.122677692153626,real,test,1
0,2066,3.882012366202684,1.7002265790518536,0.24288251753135992,-15.577428287021448,real,test,1
5,2066,3.566835817654253,1.7331639051733068,0.10043774917855683,-13.438920746363587,real,test,1
10,2066,5.522539923105404,2.357955693072921,-0.08102061951019483,-40.97287876254461,real,test,1
20,2066,4.812708949481789,3.0537859556926055,-1.2682295162253852,-47.66989336085077,real,test,1
30,2066,3.0823272461997204,1.9740080560099884,-0.676371293939356,-32.7577955495216,real,test,1
40,2066,2.5106606630424895,1.4392192781684123,-0.5908458809127731,-52.27128006446725,real,test,1
50,2066,0.3602613261690174,0.24368648191968634,-0.11874036616333636,-0.8288530174256594,real,test,1
60,2066,0.06838850136521195,0.031040605177605284,-0.00021283988024282688,0.8870507174142013,real,test,1
-60,17344,1.5181443231184326e-08,1.2497200289353162e-08,-7.207102760553504e-09,,sim,train,11
-50,17344,0.09845988284365238,0.03146967214950613,-0.002496443604415322,0.9819070129913332,sim,train,11
-40,17344,0.20161890521829887,0.05588932511291693,-0.003901265626525389,0.9484142736789561,sim,train,11
-30,17344,0.2324940563111752,0.06677103894574275,-0.002024420710431901,0.9417909496641568,sim,train,11
-20,17344,0.2562704379893728,0.07787375586082931,0.00043477785821705825,0.9373377486736373,sim,train,11
-10,17344,0.25586398006867994,0.0783496711794734,0.0009491497164169345,0.9454134108809389,sim,train,11
-5,17344,0.2738606629390724,0.0837574106418053,0.0015505366324047654,0.9425689227106323,sim,train,11
0,17344,0.2945321606993532,0.09009940808714373,0.001954486817349343,0.9333949290853387,sim,train,11
5,17344,0.30981866908054717,0.09266192755231345,0.002123961274190462,0.9372548477341528,sim,train,11
10,17344,0.3339978846797793,0.10011711018072822,0.002794756738721519,0.935011251697073,sim,train,11
20,17344,0.8282908297709373,0.4215810987377149,-0.006684905413550692,0.7053432272464935,sim,train,11
30,17344,0.3985823507667127,0.11734369318896122,-0.002138886848000568,0.93558707624786,sim,train,11
40,17344,0.3899497448311106,0.10620722083400608,-0.005462208934357008,0.9284107625849658,sim,train,11
50,17344,0.10478867331837449,0.03277086862441503,-0.0030146772096335235,0.9904875949380487,sim,train,11
60,17344,1.5181443231184326e-08,1.2497200289353162e-08,-7.207102760553504e-09,,sim,train,11
-60,2269,1.5882147537491358e-08,1.3303942398936702e-08,-6.8588470832589245e-09,,sim,val,2
-50,2269,0.13433358782408927,0.03771336250199763,-0.0013010747820355747,0.964683558151964,sim,val,2
-40,2269,0.19703638123548894,0.05538084689632315,0.0015984365620171376,0.9536128304137889,sim,val,2
-30,2269,0.2156620231879607,0.06280690774235802,0.0013945205041370565,0.9480072135336641,sim,val,2
-20,2269,0.24313152891335355,0.0743171743293509,0.0028408358792053313,0.9373370776642052,sim,val,2
-10,2269,0.2517784935792114,0.07531598291453896,0.002932698550174976,0.9421138386048318,sim,val,2
-5,2269,0.23767595149285373,0.07401259067132293,0.0024451685637632775,0.9434647747858356,sim,val,2
0,2269,0.26752502567537845,0.08070946453819232,0.002802765552268606,0.9329525600534075,sim,val,2
5,2269,0.2610579681709996,0.07943452972519861,0.0007238534254889665,0.9437685356647819,sim,val,2
