horizon,feature,feature_index,samples,rmse,mae,bias,r2
first_step,u_q_m60,0,1600,4.979777697316443,3.907373431476793,2.8504028035472437,-24.837095907143844
first_step,u_q_m50,1,1600,18.7678486557008,16.719110127532623,9.240282839109422,-14.59335252599915
first_step,u_q_m40,2,1600,21.809767068877,18.401919359953027,13.451819544688915,-5.194015604055097
first_step,u_q_m30,3,1600,42.45937152664915,36.96985062598251,13.505492956656962,-12.620400898022657
first_step,u_q_m20,4,1600,38.74432386659615,34.4926952517574,10.370254743899569,-9.498796920205974
first_step,u_q_m10,5,1600,40.43634448780825,35.49247273173416,17.907018554839304,-11.859469472779423
first_step,u_q_m5,6,1600,30.997224000496846,24.320782999270595,2.185718992634211,-10.0840585766067
first_step,u_q_0,7,1600,28.359190909954375,21.694702392067846,5.305161637986166,-11.906340931416244
first_step,u_q_p5,8,1600,14.972446319012848,11.843639809523447,-0.9177511641480669,-8.62136160814235
first_step,u_q_p10,9,1600,34.67369156143812,29.416293956974116,-21.315642738953755,-28.573041221523336
first_step,u_q_p20,10,1600,30.374211170143962,25.49663785654557,-7.185349730357703,-6.898192496595837
first_step,u_q_p30,11,1600,47.97506697934866,41.34948547660373,-5.424336983906105,-10.325427854956526
first_step,u_q_p40,12,1600,55.172818321252336,47.87951548319892,-16.39463460433064,-21.41327129600881
first_step,u_q_p50,13,1600,21.771901779222624,19.124917498094437,-3.2462533214557334,-12.525348396637055
first_step,u_q_p60,14,1600,5.164823416306686,4.334491508450592,4.3248704014683605,-79.84034530464423
all,u_q_m60,0,32000,5.594978960378834,4.428329882724955,-3.4413422082228324,-31.109080440794266
all,u_q_m50,1,32000,10.608379709444218,8.968507733220475,5.386575837237637,-3.9900087173864875
all,u_q_m40,2,32000,19.56649776698641,16.67926873669651,11.689679284787795,-3.970206730782823
all,u_q_m30,3,32000,25.972713865477573,21.90776210486897,15.095153357152439,-4.0904551240891145
all,u_q_m20,4,32000,26.033470172495438,21.426099900701345,13.82017230302337,-3.720788234806456
all,u_q_m10,5,32000,26.66755261081702,20.80863703830907,12.574027460419313,-4.610955145326077
all,u_q_m5,6,32000,27.377327013095954,22.01929604295682,0.8330467286004568,-7.650863347280918
all,u_q_0,7,32000,25.63344081720405,19.87166519076737,3.0396254617467746,-9.384966815007123
all,u_q_p5,8,32000,22.835289918403596,18.836447039500477,-5.293835121348473,-20.180321836276246
all,u_q_p10,9,32000,18.080710505662534,13.036367594936593,-0.9646241005854136,-7.179258118742371
all,u_q_p20,10,32000,25.90752485613167,20.499033669524614,-13.252114138396989,-4.716706523031959
all,u_q_p30,11,32000,35.58312012417165,28.83788760189872,-19.188929556949326,-5.188341329875931
all,u_q_p40,12,32000,28.20848237984074,21.081255273479933,-4.177137309241858,-4.879840221858033
all,u_q_p50,13,32000,14.711063789597254,12.125615210041003,-7.5125541477245354,-5.147543406513124
all,u_q_p60,14,32000,2.2659661498336146,1.542665909086261,0.4362205024304799,-14.794155338893196
