angle,samples,rmse,mae,bias,r2,dataset,split,file_count
-60,1445,0.5876611197555623,0.3114277701508662,0.000564566864037066,0.6541004648930095,real,train,1
-50,1445,0.8528890044348011,0.5780770718461805,0.14085327043182855,0.27087677113223285,real,train,1
-40,1445,1.7131814761867197,1.2809838946016905,0.5696781702780094,-1.666210753592277,real,train,1
-30,1445,2.3393650042112037,1.851500938699708,0.8172705093755402,-5.1296001128239626,real,train,1
-20,1445,2.7504837970122344,2.078214572158914,0.8357006315289697,-9.170773172074474,real,train,1
-10,1445,2.469442899925039,1.888623105116024,0.6159262541847784,-6.168746928929665,real,train,1
-5,1445,2.995370743854182,1.9502331399465667,0.4938413534558049,-9.074460760727455,real,train,1
0,1445,4.222928824419234,2.448696094530334,0.3203136088857068,-20.144082234582648,real,train,1
5,1445,3.2794685997763797,1.865275150730091,0.12369192434561364,-15.496324011855801,real,train,1
10,1445,5.269016551250536,2.8179846299062272,-0.1116899275728327,-48.47484368477708,real,train,1
20,1445,5.2564066586444085,4.05265665965387,-1.633566527196717,-80.41111320377871,real,train,1
30,1445,4.027937278692884,2.951766149803155,-0.8751335390870737,-104.1909088030967,real,train,1
40,1445,3.0498570545231485,2.1627484716065597,-0.7507989555926926,-94.25201292406877,real,train,1
50,1445,0.42954929432923317,0.3305026910011729,-0.14371617759851327,-0.10859206884196748,real,train,1
60,1445,0.14228078605784372,0.09421431571678143,-0.000548764470399737,0.8673715646342262,real,train,1
-60,1445,0.5876611197555623,0.3114277701508662,0.000564566864037066,0.6541004648930095,real,val,1
-50,1445,0.8528890044348011,0.5780770718461805,0.14085327043182855,0.27087677113223285,real,val,1
-40,1445,1.7131814761867197,1.2809838946016905,0.5696781702780094,-1.666210753592277,real,val,1
-30,1445,2.3393650042112037,1.851500938699708,0.8172705093755402,-5.1296001128239626,real,val,1
-20,1445,2.7504837970122344,2.078214572158914,0.8357006315289697,-9.170773172074474,real,val,1
-10,1445,2.469442899925039,1.888623105116024,0.6159262541847784,-6.168746928929665,real,val,1
-5,1445,2.995370743854182,1.9502331399465667,0.4938413534558049,-9.074460760727455,real,val,1
0,1445,4.222928824419234,2.448696094530334,0.3203136088857068,-20.144082234582648,real,val,1
5,1445,3.2794685997763797,1.865275150730091,0.12369192434561364,-15.496324011855801,real,val,1
10,1445,5.269016551250536,2.8179846299062272,-0.1116899275728327,-48.47484368477708,real,val,1
20,1445,5.2564066586444085,4.05265665965387,-1.633566527196717,-80.41111320377871,real,val,1
30,1445,4.027937278692884,2.951766149803155,-0.8751335390870737,-104.1909088030967,real,val,1
40,1445,3.0498570545231485,2.1627484716065597,-0.7507989555926926,-94.25201292406877,real,val,1
50,1445,0.42954929432923317,0.3305026910011729,-0.14371617759851327,-0.10859206884196748,real,val,1
60,1445,0.14228078605784372,0.09421431571678143,-0.000548764470399737,0.8673715646342262,real,val,1
-60,1445,0.5876611197555623,0.3114277701508662,0.000564566864037066,0.6541004648930095,real,test,1
-50,1445,0.8528890044348011,0.5780770718461805,0.14085327043182855,0.27087677113223285,real,test,1
-40,1445,1.7131814761867197,1.2809838946016905,0.5696781702780094,-1.666210753592277,real,test,1
-30,1445,2.3393650042112037,1.851500938699708,0.8172705093755402,-5.1296001128239626,real,test,1
-20,1445,2.7504837970122344,2.078214572158914,0.8357006315289697,-9.170773172074474,real,test,1
-10,1445,2.469442899925039,1.888623105116024,0.6159262541847784,-6.168746928929665,real,test,1
-5,1445,2.995370743854182,1.9502331399465667,0.4938413534558049,-9.074460760727455,real,test,1
0,1445,4.222928824419234,2.448696094530334,0.3203136088857068,-20.144082234582648,real,test,1
5,1445,3.2794685997763797,1.865275150730091,0.12369192434561364,-15.496324011855801,real,test,1
10,1445,5.269016551250536,2.8179846299062272,-0.1116899275728327,-48.47484368477708,real,test,1
20,1445,5.2564066586444085,4.05265665965387,-1.633566527196717,-80.41111320377871,real,test,1
30,1445,4.027937278692884,2.951766149803155,-0.8751335390870737,-104.1909088030967,real,test,1
40,1445,3.0498570545231485,2.1627484716065597,-0.7507989555926926,-94.25201292406877,real,test,1
50,1445,0.42954929432923317,0.3305026910011729,-0.14371617759851327,-0.10859206884196748,real,test,1
60,1445,0.14228078605784372,0.09421431571678143,-0.000548764470399737,0.8673715646342262,real,test,1
-60,1652,1.566228052833202e-08,1.2826354007014666e-08,-8.239749139248897e-09,,sim,train,1
-50,1652,0.1018645374981959,0.027275422927338564,-0.0038314692083511715,0.969062550216688,sim,train,1
-40,1652,0.19872529937863082,0.05543551479972138,-0.006030847172303242,0.9488899943852845,sim,train,1
-30,1652,0.3051201475187602,0.07502663811444693,-0.0011179240040966154,0.8982765803860604,sim,train,1
-20,1652,0.30968316229222537,0.08747007100130468,0.007228008068529584,0.9188463039228751,sim,train,1
-10,1652,0.2877126127978915,0.08618496377595834,0.010978344745771172,0.9471667450281704,sim,train,1
-5,1652,0.31382726589452326,0.09512745999988313,0.013539870627004106,0.9423940843818599,sim,train,1
0,1652,0.38636653669058335,0.1129493651612045,0.01847507214501968,0.9157926389329835,sim,train,1
5,1652,0.3786095018432398,0.11118891744850459,0.017835673458305962,0.9243035049175632,sim,train,1
10,1652,0.42164091381621,0.1222038445656468,0.017266648832524475,0.9016341417914504,sim,train,1
20,1652,0.8991272999114435,0.4546432053035822,0.030215104284494393,0.6739308106715884,sim,train,1
30,1652,0.3980153474479842,0.12195055358708802,0.010303135185405989,0.9363962156987957,sim,train,1
40,1652,0.505534860936878,0.1167732630684246,-0.005497062730501455,0.8818065037296123,sim,train,1
50,1652,0.09718434816686794,0.0284905350091853,-0.005394884989015605,0.9797005146985213,sim,train,1
60,1652,1.566228052833202e-08,1.2826354007014666e-08,-8.239749139248897e-09,,sim,train,1
-60,1652,1.566228052833202e-08,1.2826354007014666e-08,-8.239749139248897e-09,,sim,val,1
-50,1652,0.1018645374981959,0.027275422927338564,-0.0038314692083511715,0.969062550216688,sim,val,1
-40,1652,0.19872529937863082,0.05543551479972138,-0.006030847172303242,0.9488899943852845,sim,val,1
-30,1652,0.3051201475187602,0.07502663811444693,-0.0011179240040966154,0.8982765803860604,sim,val,1
-20,1652,0.30968316229222537,0.08747007100130468,0.007228008068529584,0.9188463039228751,sim,val,1
-10,1652,0.2877126127978915,0.08618496377595834,0.010978344745771172,0.9471667450281704,sim,val,1
-5,1652,0.31382726589452326,0.09512745999988313,0.013539870627004106,0.9423940843818599,sim,val,1
0,1652,0.38636653669058335,0.1129493651612045,0.01847507214501968,0.9157926389329835,sim,val,1
5,1652,0.3786095018432398,0.11118891744850459,0.017835673458305962,0.9243035049175632,sim,val,1
10,1652,0.42164091381621,0.1222038445656468,0.017266648832524475,0.9016341417914504,sim,val,1
20,1652,0.8991272999114435,0.4546432053035822,0.030215104284494393,0.6739308106715884,sim,val,1
30,1652,0.3980153474479842,0.12195055358708802,0.010303135185405989,0.9363962156987957,sim,val,1
40,1652,0.505534860936878,0.1167732630684246,-0.005497062730501455,0.8818065037296123,sim,val,1
50,1652,0.09718434816686794,0.0284905350091853,-0.005394884989015605,0.9797005146985213,sim,val,1
60,1652,1.566228052833202e-08,1.2826354007014666e-08,-8.239749139248897e-09,,sim,val,1
-60,1652,1.566228052833202e-08,1.2826354007014666e-08,-8.239749139248897e-09,,sim,test,1
-50,1652,0.1018645374981959,0.027275422927338564,-0.0038314692083511715,0.969062550216688,sim,test,1
