horizon,feature,feature_index,samples,rmse,mae,bias,r2
first_step,u_q_m60,0,400,4.104679768731478,2.9758375878641954,1.4370607153941517,-12.740963554720512
first_step,u_q_m50,1,400,20.185117437038546,18.593303766176106,13.789032870009542,-33.69429262168266
first_step,u_q_m40,2,400,23.985388157638496,21.439544130582362,16.881686099190265,-12.629516926260935
first_step,u_q_m30,3,400,45.16527480085082,40.341664589066056,25.75376511765644,-19.31360606584261
first_step,u_q_m20,4,400,39.350392609940265,35.41750829570112,17.896189761416753,-11.886605003018337
first_step,u_q_m10,5,400,43.57812907576999,39.88419291087426,26.107712826514618,-14.998471271840893
first_step,u_q_m5,6,400,32.90281750040053,25.8698913696385,5.113208086604718,-12.646298716026662
first_step,u_q_0,7,400,31.613649816979137,24.278474546447395,1.7771760904043914,-12.79497641725042
first_step,u_q_p5,8,400,16.574800790805977,12.966444741403684,-4.024410709952935,-8.772171805950045
first_step,u_q_p10,9,400,37.10433526708098,32.73029307933815,-21.042279042986337,-23.919352576872278
first_step,u_q_p20,10,400,33.00414212889075,28.420030286088586,-14.33812781304121,-7.198886644454724
first_step,u_q_p30,11,400,49.84440710249128,43.18664884758182,-15.389674367504194,-12.232330571241759
first_step,u_q_p40,12,400,60.478249192716966,53.257833269968394,-24.900665000058943,-30.50852976949727
first_step,u_q_p50,13,400,22.314088003425113,19.80452726783231,-8.925943069308996,-19.283127699839625
first_step,u_q_p60,14,400,4.158267730157647,3.3000692779687233,3.2844962839153595,-111.08878309354223
all,u_q_m60,0,8000,6.196021059551046,5.057559952772897,-4.40778129042766,-30.345937051773735
all,u_q_m50,1,8000,11.178924005529831,9.674371604848654,7.968937806235626,-9.883343536946521
all,u_q_m40,2,8000,21.415870718462333,18.647092713121324,16.292059560472147,-9.937953542864818
all,u_q_m30,3,8000,27.577460988869447,23.703246124055703,20.642915959783362,-6.684373997639747
all,u_q_m20,4,8000,26.273877638642777,21.721841454731766,17.376165971097652,-4.719201681709758
all,u_q_m10,5,8000,27.11287976530315,20.977078451779672,15.071838287099265,-5.341307766599988
all,u_q_m5,6,8000,28.399570764325755,23.164729253558676,-2.11995934860711,-9.059804779433321
all,u_q_0,7,8000,27.247350928288114,20.996566769317724,0.42084887233469637,-8.929758932664953
all,u_q_p5,8,8000,24.409970707279058,20.880507119978837,-10.098827252312272,-18.146825256752823
all,u_q_p10,9,8000,19.81052157423633,14.740786824193982,1.040447307300663,-6.708103646960362
all,u_q_p20,10,8000,27.968925050031427,22.593023237858432,-17.356503499826882,-4.838743501723495
all,u_q_p30,11,8000,35.87351664932736,29.86019892494427,-23.189498830773402,-5.835938201433545
all,u_q_p40,12,8000,31.119052680914074,23.086525059394074,-7.550675683778128,-7.228831981707565
all,u_q_p50,13,8000,16.12555168575431,13.890985759454779,-11.733102978321723,-9.595983955556754
all,u_q_p60,14,8000,2.0031426277584634,1.3525593254375152,0.16491868039917887,-25.00155499544295
